timestamp,voltage,current
1667948224.2429593,4.21,0.0
1667948224.4236517,4.2,0.509
1667948224.609874,4.19,1.0
1667948224.790834,4.06,1.506
1667948224.9720778,4.06,9.232
1667948225.0934672,4.08,8.0
1667948225.2151291,4.08,8.0
1667948225.3364859,4.09,8.0
1667948225.4587374,4.08,8.0
1667948225.6650484,4.12,8.0
1667948225.786369,4.12,5.5
1667948225.9271033,4.12,5.5
1667948226.0530767,4.12,5.5
1667948226.1747131,4.12,5.5
1667948226.295399,4.12,5.5
1667948226.416541,4.12,5.5
1667948226.5399048,4.12,5.5
1667948226.6605825,4.12,5.5
1667948226.7831092,4.12,5.5
1667948227.014956,3.97,5.5
1667948227.1357174,3.98,15.0
1667948227.2564788,3.98,15.0
1667948227.378763,3.99,15.0
1667948227.4994063,3.98,15.0
